,Episode name,Season,Number,Release date,Score
0,Pilot,1,1,8 Nov. 2005,8.7
1,Wendigo,1,2,20 Sep. 2005,8.0
2,Dead in the Water,1,3,27 Sep. 2005,8.1
3,Phantom Traveler,1,4,4 Oct. 2005,8.2
4,Bloody Mary,1,5,11 Oct. 2005,8.4
5,Skin,1,6,18 Oct. 2005,8.4
6,Hook Man,1,7,25 Oct. 2005,8.0
7,Bugs,1,8,8 Nov. 2005,7.0
8,Home,1,9,15 Nov. 2005,8.9
9,Asylum,1,10,8 Feb. 2006,8.5
10,Scarecrow,1,11,10 Jan. 2006,8.7
11,Faith,1,12,17 Jan. 2006,8.9
12,Route 666,1,13,31 Jan. 2006,7.4
13,Nightmare,1,14,7 Feb. 2006,8.3
14,The Benders,1,15,14 Feb. 2006,8.3
15,Shadow,1,16,28 Feb. 2006,8.6
16,Hell House,1,17,30 Mar. 2006,8.4
17,Something Wicked,1,18,6 Apr. 2006,8.6
18,Provenance,1,19,13 Apr. 2006,8.8
19,Dead Man's Blood,1,20,20 Apr. 2006,8.5
20,Salvation,1,21,27 Apr. 2006,8.9
21,Devil's Trap,1,22,4 May 2006,9.3
22,In My Time of Dying,2,1,28 Sep. 2006,9.3
23,Everybody Loves a Clown,2,2,5 Oct. 2006,8.2
24,Bloodlust,2,3,12 Oct. 2006,8.3
25,Children Shouldn't Play with Dead Things,2,4,19 Oct. 2006,8.0
26,Simon Said,2,5,26 Oct. 2006,8.6
27,No Exit,2,6,2 Nov. 2006,8.4
28,The Usual Suspects,2,7,9 Nov. 2006,8.7
29,Crossroad Blues,2,8,16 Nov. 2006,8.8
30,Croatoan,2,9,7 Dec. 2006,8.8
31,Hunted,2,10,11 Jan. 2007,8.5
32,Playthings,2,11,18 Jan. 2007,8.4
33,Nightshifter,2,12,25 Jan. 2007,9.0
34,Houses of the Holy,2,13,1 Feb. 2007,8.1
35,Born Under a Bad Sign,2,14,8 Feb. 2007,8.8
36,Tall Tales,2,15,15 Feb. 2007,9.2
37,Roadkill,2,16,15 Mar. 2007,8.9
38,Heart,2,17,22 Mar. 2007,8.8
39,Hollywood Babylon,2,18,19 Apr. 2007,8.6
40,Folsom Prison Blues,2,19,26 Apr. 2007,8.7
41,What Is and What Should Never Be,2,20,3 May 2007,9.4
42,All Hell Breaks Loose: Part 1,2,21,10 May 2007,9.2
43,All Hell Breaks Loose: Part 2,2,22,17 May 2007,9.5
44,The Magnificent Seven,3,1,4 Oct. 2007,8.6
45,The Kids Are Alright,3,2,11 Oct. 2007,8.7
46,Bad Day at Black Rock,3,3,18 Oct. 2007,9.3
47,Sin City,3,4,25 Oct. 2007,8.4
48,Bedtime Stories,3,5,1 Nov. 2007,8.4
49,Red Sky at Morning,3,6,8 Nov. 2007,8.1
50,Fresh Blood,3,7,15 Nov. 2007,8.5
51,A Very Supernatural Christmas,3,8,13 Dec. 2007,8.8
52,Malleus Maleficarum,3,9,31 Jan. 2008,8.5
53,Dream a Little Dream of Me,3,10,7 Feb. 2008,8.5
54,Mystery Spot,3,11,14 Feb. 2008,9.5
55,Jus in Bello,3,12,21 Feb. 2008,9.4
56,Ghostfacers,3,13,24 Apr. 2008,7.7
57,Long Distance Call,3,14,1 May 2008,8.0
58,Time Is on My Side,3,15,8 May 2008,8.5
59,No Rest for the Wicked,3,16,15 May 2008,9.3
60,Lazarus Rising,4,1,18 Sep. 2008,9.4
61,"Are You There, God? It's Me, Dean Winchester",4,2,25 Sep. 2008,8.6
62,In the Beginning,4,3,2 Oct. 2008,9.2
63,Metamorphosis,4,4,9 Oct. 2008,8.1
64,Monster Movie,4,5,16 Oct. 2008,8.5
65,Yellow Fever,4,6,23 Oct. 2008,9.2
66,"It's the Great Pumpkin, Sam Winchester",4,7,30 Oct. 2008,8.5
67,Wishful Thinking,4,8,6 Nov. 2008,8.7
68,I Know What You Did Last Summer,4,9,13 Nov. 2008,8.7
69,Heaven and Hell,4,10,20 Nov. 2008,8.9
70,Family Remains,4,11,15 Jan. 2009,8.1
71,Criss Angel Is a Douche Bag,4,12,22 Jan. 2009,8.1
72,After School Special,4,13,29 Jan. 2009,8.8
73,Sex and Violence,4,14,5 Feb. 2009,8.5
74,Death Takes a Holiday,4,15,12 Mar. 2009,8.7
75,On the Head of a Pin,4,16,19 Mar. 2009,9.1
76,It's a Terrible Life,4,17,26 Mar. 2009,8.8
77,The Monster at the End of This Book,4,18,2 Apr. 2009,9.3
78,Jump the Shark,4,19,23 Apr. 2009,8.3
79,The Rapture,4,20,30 Apr. 2009,8.7
80,When the Levee Breaks,4,21,7 May 2009,8.6
81,Lucifer Rising,4,22,14 May 2009,9.3
82,Sympathy for the Devil,5,1,10 Sep. 2009,8.8
83,"Good God, Y'All",5,2,17 Sep. 2009,8.7
84,Free to Be You and Me,5,3,24 Sep. 2009,8.6
85,The End,5,4,1 Oct. 2009,9.2
86,Fallen Idols,5,5,8 Oct. 2009,8.1
87,I Believe the Children Are Our Future,5,6,15 Oct. 2009,8.6
88,The Curious Case of Dean Winchester,5,7,29 Oct. 2009,8.8
89,Changing Channels,5,8,5 Nov. 2009,9.7
90,The Real Ghostbusters,5,9,12 Nov. 2009,8.9
91,Abandon All Hope,5,10,19 Nov. 2009,9.3
92,"Sam, Interrupted",5,11,21 Jan. 2010,8.6
93,Swap Meat,5,12,28 Jan. 2010,8.3
94,The Song Remains the Same,5,13,4 Feb. 2010,9.1
95,My Bloody Valentine,5,14,11 Feb. 2010,8.9
96,Dead Men Don't Wear Plaid,5,15,25 Mar. 2010,8.6
97,Dark Side of the Moon,5,16,1 Apr. 2010,8.8
98,99 Problems,5,17,8 Apr. 2010,8.5
99,Point of No Return,5,18,15 Apr. 2010,9.0
100,Hammer of the Gods,5,19,22 Apr. 2010,9.1
101,The Devil You Know,5,20,29 Apr. 2010,8.7
102,Two Minutes to Midnight,5,21,6 May 2010,9.3
103,Swan Song,5,22,13 May 2010,9.7
104,Exile on Main St.,6,1,24 Sep. 2010,7.8
105,Two and a Half Men,6,2,1 Oct. 2010,8.0
106,The Third Man,6,3,8 Oct. 2010,8.2
107,Weekend at Bobby's,6,4,15 Oct. 2010,9.2
108,Live Free or Twihard,6,5,22 Oct. 2010,8.4
109,You Can't Handle the Truth,6,6,29 Oct. 2010,8.5
110,Family Matters,6,7,5 Nov. 2010,8.1
111,All Dogs Go to Heaven,6,8,12 Nov. 2010,7.8
112,Clap Your Hands If You Believe,6,9,19 Nov. 2010,8.5
